sourceTaxonName,sourceTaxonRank,sourceTaxonSpeciesName,interactionTypeName,targetTaxonName,targetTaxonRank,targetTaxonSpeciesName,decimalLatitude,decimalLongitude,localityId,localityName,interaction_pair,interaction_pair_fraction,patch_name
Brycon falcatus,species,Brycon falcatus,eats,Alchornea fluviatilis,species,Alchornea fluviatilis,-1.275555,-69.73055,Caqueta,Colombia,Alchornea fluviatilis_Brycon falcatus,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus asterias,species,Myloplus asterias,eats,Quiina amazonica,species,Quiina amazonica,-1.1451111,-69.487222,Apaporis,Colombia,Myloplus asterias_Quiina amazonica,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Miconia truncata,species,Miconia truncata,-1.1451111,-69.487222,Apaporis,Colombia,Brycon amazonicus_Miconia truncata,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus asterias,species,Myloplus asterias,eats,Annona hypoglauca,species,Annona hypoglauca,-1.1451111,-69.487222,Apaporis,Colombia,Annona hypoglauca_Myloplus asterias,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Nectandra oppositifolia,species,Nectandra oppositifolia,-1.1451111,-69.487222,Apaporis,Colombia,Brycon falcatus_Nectandra oppositifolia,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Cecropia latiloba,species,Cecropia latiloba,-1.275555,-69.73055,Caqueta,Colombia,Brycon falcatus_Cecropia latiloba,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Bothriospora corymbosa,species,Bothriospora corymbosa,-1.1451111,-69.487222,Apaporis,Colombia,Bothriospora corymbosa_Brycon amazonicus,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Annona hypoglauca,species,Annona hypoglauca,-1.275555,-69.73055,Caqueta,Colombia,Annona hypoglauca_Brycon melanopterus,1.0505989464593764e-06,Patch_-5_0_-72_-68
Mylossoma duriventris,species,Mylossoma duriventris,eats,Ficus pertusa,species,Ficus pertusa,-1.275555,-69.73055,Caqueta,Colombia,Ficus pertusa_Mylossoma duriventris,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus rubripinnis,species,Myloplus rubripinnis,eats,Trichilia rubra,species,Trichilia rubra,-1.1451111,-69.487222,Apaporis,Colombia,Myloplus rubripinnis_Trichilia rubra,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Euterpe precatoria,species,Euterpe precatoria,-1.275555,-69.73055,Caqueta,Colombia,Brycon amazonicus_Euterpe precatoria,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Cayaponia cruegeri,species,Cayaponia cruegeri,-1.275555,-69.73055,Caqueta,Colombia,Brycon falcatus_Cayaponia cruegeri,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Virola duckei,species,Virola duckei,-1.275555,-69.73055,Caqueta,Colombia,Brycon amazonicus_Virola duckei,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Stachyarrhena penduliflora,species,Stachyarrhena penduliflora,-1.275555,-69.73055,Caqueta,Colombia,Myloplus torquatus_Stachyarrhena penduliflora,5.252994732296882e-07,Patch_-5_0_-72_-68
